Producto,Medidas,Linea
INFLACOR PET'S,"


2.0 mg
",
LACTAFEN ,"


10 g.",
GARRAHIT,"


208 g",Bovinos
COMPLEJO B,"


10 mg
4 mg
100 mg
40 mcg",
PORCIFER B12,"


100 mg
80 mcg
",
PULVEX CHAMPU CON ALOE,"


40 g
12 g
2 g",Caninos
EDO GLUCALFOS,"


20,85 g

5,2 g
6 g
15 g","Bovinos, Equinos, Portcinos, Ovinos y Caninos"
PENIDEXINA ,"


166.667 Ul
166.667 Ul
334 mg
0.8 mg
","Bovinos, Equinos, Ovinos, Caprinos, Porcinos y Caninos"
"CALCIO, FOSFORO, MAGNESIO Y DEXTROSA.","


6,02 g
18,5 g
16,5 g","Bovinos, Equinos, Porcinos, Ovinos y Caninos"
IVERBEST A.P. ORO 3.15%,"


31.5 g",
ENDOXIN,"


6 mg
75 mg",Equinos
EDO-CUR FENBENDAZOL 10%,"

10 g.","Bovinos, equinos, ovinos y caprinos."
EDO GEN,"


14,25 mL
5,5 mg
2 g

0,9 g","Bovinos, Equinos y Porcinos"
MARPET SHAMPOO MEDICADO,"


0.5 g",
VAK-ENERGY,"


80 g
10.9 g

2 g",
ARTRICAN,"


500 mg
300 mg",Caninos y Felinos
DE- OMAX,,
CANISAN P5,"


0,03 mg
37,80 mg
500 mg",Caninos
ERITROMICINA POLVO SOLUBLE,"


8,5 g",Aves
CLORTETRACICLINA HCL 75%,"


75 g",Aves y Porcinos
OXITETRACICLINA HCL 75%,"


75 g",Aves y Porcinos
RIXOVAL 25,"


25 g",
EDO MICINA 200 L.A.,                                                 20 mg,"Bovinos, Ovinos, Caprinos y Porcinos"
BROMHAX,"

0.25 g
4.0 g
0.2 g",Aves
ENROVET 20%,"


20 g ",
SPLEND DOG,"


150 mg
50 mg",
HIOSCINA COMPUESTA,,"Bovinos, Equinos, Porcinos, Ovinos, Caprinos, Caninos y Gatos"
TRIMETROPIM SULFADIZINA SOLUCION INYECTABLE,"

80 mg
400 mg","Bovinos, Equinos, Porcinos y Ovinos"
CEFEXIM,"


20 g.
",
AUROCHAMPU-P,"


10 g",Perros
NOLARVAL PREMIX,"


1g",
IVERMECTINA 3.15%,"


31.5 g",
FENBENDAVET (POLVO),"

4 g.","Porcinos, Aves"
RATIDEX,"

0.005 %",No informa
IVERLAND DORADO A.P. 3.15%,,
FLUBEUR,"

5 g","Porcinos, Aves"
MASTI-LAC- SECADO,"


350 mg
700 mg",
BECORTIN,                              2 mL                         ,"Bovinos, equinos, porcinos, ovinos, caninos y felinos "
VITAMINA A + VITAMINA D3 GENFAR,"

600.000 U.I.
2.000 U.I.","Bovinos, Equinos, Ovinos y Caprinos"
FLUXICLINA,"


108.70 mg

33.34 mg","Bovinos, Porcinos y Caninos"
IXO 3.15,"


3.15 g",Bovinos
CIPERHIT 15% EC,"


150 g",Bovinos
CIPRONOVA 20,"


20 g",Aves
THIANOV,"


10 g",Aves
VITAMAR POLVO SOLUBLE,"


7000.000 U.I.
1´000.000 U.I
5000 U.I
3000 mg
600 mg
2000 mg
1500 mg
6000 mg
7500 mg
4000 mg
500 mg
40 mg
20000 mg 


10000 mg

6000 mg

6000 mg

2500 mg","Bovinos, Porcinos y Aves"
FLORIFEN PREMIX,"


2,0 g",Porcinos
FOSFOBEST SELENIO,"


100.0 mg
9.0 mg
20.0 mg
0.35 mg","Bovinos, equinos, porcinos, ovinos, caprinos y caninos "
CURAGAN NL,"

1,25 g
0,50 g
0,86 g
23,40 g","Bovinos, equinos, porcinos, caprinos, ovinos, aves, caninos."
FLUMASTIN SECADO,"


375 mg
154 mg",Bovinos
SERVIMEC L.A.,"


10 mg","Bovinos, Porcinos "
IVERCAPS EQUINOS,"


1,87 g",Equinos
PIRETOX,                              150 g ,"Bovinos, ovinos y caprinos "
BIODES NF,"

14 g
2,5 g",No aplica
BIODES 200,"


20 g",No aplica
VITAMINA A + COMPLEJO B,"


5.000.000 Ul
10000 mg
2000 mg
500 mg
500 mg
10 mg
500 mg","Bovinos, equinos, ovinos, porcinos y caninos"
CEROVEM 30% Co,"


30 g","Bovinos, equinos y ovinos"
WORMIFEN 250 Co SUSPENSION ORAL,"


25 g","Bovinos, equinos, ovinos, caprinos y porcinos "
DYNABIOTICO C.T.C,"


3.3 g.
10 g.",Aves y porcinos
VIT-A-CAPS,"


500.000 Ul","Bovinos, ovinos y porcinos"
ESPENT,"


200.000 Ul
200.000 Ul
400 mg","Bovinos, equinos, porcinos, ovinos, caprinos y caninos"
FENBENDAZOL 25%,"


250 mg","Bovinos, ovinos y caprinos"
AMITRIN ,"

400 mg
80 mg","Bovinos, porcinos, ovinos y equinos."
FENPROCUR 25 CO,                                  25 g,"Bovinos, porcinos y ovinos "
TIAMUVET POLVO,                                100 g ,Aves y porcinos
ESTREPTOMICINA CAOLIN PECTINA,"


4.64 g
75.2 g
6.7 g","Bovinos, equinos, ovinos, caprinos, porcinos y caninos "
FLORFENIVET,                                           20 g                               ,Porcinos
COMPLEJO B ORAL,"


200 mg
100 mg
100 mg
1000 ug
2200 mg
500 ug
200 mg
1000 mg

100 mg

100 mg
1800 mg","Bovinos, equinos, ovinos, caprinos, porcinos, aves, caninos y felinos "
"OXITETRACICLINA, DIAZOAMINODIBENZAMIDINA, ANTIPIRINA","

 35  mg
100 mg
150 mg","Bovinos, equinos, ovinos y caninos"
KYRODIUR,"


15 mg
0.75 mg",Bovinos y equinos
"PENICILINA BENZATÍNICA, PROCAÍNICA Y SÓDICA 3 MILLONES.","

150.000 UI
75.000 UI
75.000 UI","Bovinos, ovinos, equinos, porcinos, caninos y felinos"
OXIPIRINA 200 L.A.,                                 200 mg,"Bovinos, porcinos, ovinos, caprinos, aves"
SPRAY CAN AMOR N.F.,"

6 g",Caninos
TALCO MASCOBELL (INSECTICIDA),                                 1 g,Caninos
SHAMPOO MASCOBELL (INSECTICIDA),"                                1,0 g",Caninos
JABON MASCOBELL (INSECTICIDA),                            1 g,Caninos
EDO FLOX 5%,                                  5 g,"Bovinos, ovinos, porcinos, caninos y felinos "
DIAMINAVEC,"                                       40 mg 
100 mg
180 mg                         ","Bovinos, ovinos, equinos y caninos "
SIN-EM KENNEL,                                    500 mg,Caninos y felinos
NOVITAM,"                                  1000 mg
200 mg
600 mg
500 mg
1000 mcg
2200 mg
500 mcg
100 mcg
150 mg ","Bovinos, equinos, ovinos, caprinos, porcinos, caninos y felinos"
OPTIMUS L.A.,                                       31 mg,Bovinos
OREGAN D,                                              3 g,Bovinos
IVERQUINOS,"
18,7 mg
140,2 mg",Equinos
IVERCAN,"                              150 mg                        145 mg                      50 mg                           
30 µg

",Caninos
CEFTIOFUR SÓDICO,                              50 mg,"Bovinos, Caninos, Equinos, Porcinos"
HIERRO DEXTRAN + B12,,
ESPECIFICO EDO 17%,,
CREOLINA EDO,,
HIERRO DEXTRAN + B12,                                    100 mg                    100  µg,Porcinos y Bovinos
ESPECIFICO EDO 17%,                                400 g,No informa
CREOLINA EDO,                                 25 g,No informa
IMIDOCAPS,                                 120  mg,"Bovinos, ovinos, equinos y caninos "
CONTRATAK 15% EC,"

15 g",Bovinos
BARRERA QUÍMICA CANAMOR,"

6 g",No aplica
BARRERA QUIMICA CANAMOR (POLVO),"

2 g",No aplica
VIT-B CAPS,"

10 mg
3 mg
5 mg                     
100 µg                
100 mg             
5 mg
","Bovinos, equinos, ovinos, caprinos, porcinos, caninos y felinos"
AMICAPS 20.8% EC,"                               20,8 ml",Bovinos y caninos
OXINA 300 L.A.,"


300 mg","Bovinos, ovinos y caprinos"
CALFOVAC,"                                   6,02 g                                    18,37 g                   16,5 g","Bovinos, equinos, porcinos, ovinos y caninos "
POLIMOX,                               10 UI.,"Bovinos, equinos, porcinos, ovinos, caprinos caninos y felinos "
PIROXICAM INYECTABLE,                               20 mg,equinos
EDO-EKINA,"


20 mg
150 mg",Equinos
PENDEX,"                              100.000 UI 
100.000 UI. 
250 mg 
0.7 mg ","Bovinos, equinos, porcinos, ovinos, caprinos y caninos "
FERREX B-12,"


100 mg

100mcg",Porcinos
KEPROFEN INYECTABLE,"

100 mg","Bovinos, equinos, porcinos, caninos y felinos"
LINCARVALPREMIX,"


4.4 g","Aves, porcinos"
GANAPAR,"

100 mg

15 mg

20 mg","Bovinos, equinos, ovinos, porcinos, caprinos y caninos"
"PENICILINA BENZATINICA, PROCAINICA Y SÓDICA 7,5 MILLONES","                               125.000 UI 
93.750 UI              93.750 UI ","Bovinos, ovinos, porcinos, caninos y felinos "
ULTRADERM CHAMPU,"

4.0 g
0.30 g

","Caninos, felinos y equinos"
FINESTRESS POLVO SOLUBLE,,
YODO AL 2.5%,"                              27,5 g",No aplica
ACTIFUN CREMA,"


0.30 g
0.04 g
1.0 g","Caninos, felinos, bovinos y equinos "
ALCOZOLE 25 CO,"

25 g.",Bovinos y Ovinos
ENROMAX 20% SOLUCION ORAL,"


20 g",Aves
"PENICILINA BENZATÍNICA, PROCAÍNICA Y SÓDICA 10 MILLONES","
142.857 UI
107.142 UI
107.142 UI","Bovinos, ovinos, porcinos, caninos y felinos"
SELEFOS,"


100 mg
20 mg
15 mg
219 µg",
ENROPROC 8%,"                                                  
80 mg",Bovinos y Porcinos
QUINED,"
100 mg","Bovinos, Porcinos y Caninos"
ERITROMICINA 200,"

200 mg","Bovinos, Caprinos, Ovinos y Porcinos. "
TONOVAN NF,"
130 mg
9.3 mg
20 mg
0.219 mg
50 µg","Bovinos, equinos, porcinos, caprinos, ovinos y caninos"
ORAPRINA 20,                                  20 Ul,"Bovinos, equinos, ovinos, caprinos, porcinos, caninos y felinos"
STARMEC 15 INYECTBALE,"


10 mg",Bovinos y porcinos
CEFTIHIT,"


50 mg","Bovinos, equinos, porcinos "
MASTIDYNE BARRERA,                                       0.71 g,Bovinos
MACROLAC S,"



400 mg
500 mg",Bovinos
HEPATODEX,"                                  10 mg 
3 mg 
50 µg
100 mg","Bovinos, equinos, ovinos, caprinos, porcinos y caninos "
OESOCAL P,"                              5000 UI
10000 UI
70 mg 
14 mg 
14 mg
50 mcg 
175 mg                      21000 mg                                   500 mg                                        100 mg                             5000 mg                           2000 mg                ",Caninos y felinos
NIXIPEN 5.0,                              86.956 U.I                             65.217 U.I                 65.217 U.I,"Bovinos, ovinos, caprinos, equinos, porcinos y caninos "
BOATRAZ E.C.,"


12.5 g",Bovinos
TRIMEBAC,"


400 mg
80 mg","Aves, porcinos"
ULTRADERM CREMA,"


2.00 g
1.00 g
0.05 g","Equinos, caninos y felinos"
PIROYET-OXI,                                  35mg.                     100 mg.                  150 mg,"Bovinos, ovinos, equinos y caninos "
NIXIPEN 7.5,                            125.000 U.I                    93.750 U.I              93.750 U.I.,"Bovinos, ovinos, caprinos, equinos, porcinos y caninos "
FLORAVET 10%,"

100 mg",Aves
ESPIRAXIN 600,"

600.000 UI","Bovinos, ovinos, porcinos, caprinos y caninos"
SOSEGAN ,"

1 g","Equinos, caninos, felinos"
OXITOCINA,"

10 U.I","Bovinos, equinos, porcinos, ovinos, caprinos, caninos y felinos"
NIXIPEN 10,"

142.857 U.I
107.142 U.I
107.142 U.I","Bovinos, ovinos, caprinos, equinos, porcinos y caninos "
TILMIVET PREMIX,"

200 g",Porcinos
THIABENDAZOLE 15% L,"

15 g",No aplica
SOSEGAN GOTAS,"

1.0 g",Caninos y felinos
ALERNEX,"

5 mg",Caninos y felinos
FENBENDAZOLE,"

150 mg","Bovinos, equinos, ovinos y porcinos"
ANDVIT-A,"

500.000 U.I
100 U.I","Bovinos, equinos, porcinos, ovinos y caprinos"
MASTIGEL LACTANCIA,"

20 mg
50 mg
0,40 mg","Bovinos, ovinos, caprinos"
PENBIOTIC,"

160.000 U.I
80.000 U.I
240 mg
0,6 mg","Bovinos, equinos, ovinos, porcinos y caninos "
MASTILIX,"

400 mg 
150.000 U.I
200 µg",Bovinos
KAPUT MASTER,"

3,15 g",Bovinos
PASTA DESCORONADORA BIOGEN,"

50 g
40 g",Bovinos
MACROLAC L,"


29,3 mg

29,6 mg
0,066 mg",Bovinos
IVERMECTINA 3.15% L.A. INYECTABLE,"


31.5 mg",Bovinos
MATA RATA GUAYAQUIL ,"

0,005 g",No aplica
VIMEC Z,"

10 mg
10 mg",Bovinos
STARMEC 3.15%,"

31,5 mg",Bovinos
GLUTAMAX NF COMPUESTO,"

100 mg
60 mg
300 mg",No aplica
LIVERPROT,"

10 g
15 g
30 g",Aves
KEIADERM,"

0,2 g
12,5 g
3,5 g","Bovinos, equinos, porcinos, caninos y felinos"
CIPERBLAS,"

150 g",Bovinos
DIMINAZENO ACETURATO,"


50 mg","Bovinos, equinos, ovinos y caninos "
BIOGAN ,"

50 mg","Bovinos, ovinos, caprinos, porcinos, caninos y felinos"
IVERBLAN 60,"

60 µg
50 mg",Caninos
IVERBLAN 120,"

120 µg
100 mg",Caninos
CLORTIAMULIN,"

3,3 g
10 g",Aves y porcinos
ENROFLOXACINA INYECTABLE 10%,"

100 mg","Bovinos, porcinos, caninos"
NEUROL,"

20 g
2 g 
0,1 g",
ACOPEN,"

200.000 U.I
100.000 U.I
1 mg",
NEUTRALIZANTE DE HALOGENOS,"

50 g
5 g",No aplica
SELLODINE BARRERA,"

0,84 g
0,42 g
3,88 g
4,61 g",Bovinos
IVERZENOL,"

10 mg
10 mg",Bovinos
FOSVITAL INYECTABLE,"

130 mg
15 mg
20 mg
0,3 mg
50 μg","Bovinos, equinos, ovinos, porcinos, caprinos y caninos "
ICOVITAL ,"

5'000.000 U.I
10.000 mg
2.000 mg
5.000 U.I
500 mg
500 mg
10 mg
500 mg
","Bovinos, equinos, ovinos, porcinos y caninos "
TIKPIREM ,"

120 mg","Bovinos, equinos, caninos"
IVERMECTINA 3.15% L.A.   ,"

31,5 mg",Bovinos
SPOTHION ,"

20 g",Bovinos
VERMICAN ,"


14,5 g
2,5 g",Caninos y felinos
OXITOCINA 20 U.I.,"

20 U.I.","Bovinos, equinos, porcinos, ovinos, caprinos, caninos y felinos "
NOLARVAL SL,"

20 g",No aplica
DESICAM,"

25 g
26,5 g",No aplica
LIXAPEN,"

150.000 U.I
75.000 U.I
75.000 U.",
AGUA ESTÉRIL PARA INYECCIÓN,,No aplica
OXITOCINA 20 U.I.,"

20 U.I","Bovinos, equinos, porcinos, ovinos, caprinos, caninos y felinos"
SANAGAN ,"

97 g","Bovinos, equinos, ovinos, caprinos, porcinos y aves"
PIOVAL,"

81,5 g",Bovinos y aves
DOXIPHAR AL 25%,"

25 g",Aves y porcinos
MULTIFORCE,"


20 mg
10 mg
6 mg
200 µg
100 mg
10 mg","Bovinos, equinos, porcinos, ovinos, caprinos, caninos y felinos"
OXITETRACICLINA 200 L.A.,"

200 mg","Bovinos, porcinos, ovinos y caprinos "
CIPERBAÑO 15 C.E.,"

15 g",Bovinos
CALCIO - FÓSFORO - MAGNESIO - DEXTROSA,"


18.12 g

2.05 g

5.85 g

16.50 g","Bovinos, equinos, porcinos, ovinos, caninos y felinos"
BLAMITRAZ 12.5% E.C.,"

125 g
",Bovinos
KEPROFEN 5,"   
                          5 mg",Caninos y felinos
AUROZOLE 25 CO,"

25 g","Bovinos, equinos, ovinos y porcinos"
CRECEDOR,"

9.000 U.I.
200.000 U.I
5.000 μg
0.490 mg
1.000 mg
420 mg
210 mg
210 mg
210 mg
210 mg
200 mg
200 mg
2 mg
15 mg
10 mg
42 mg
1.500 mg
210 mg","Bovinos, porcinos, caprinos y ovinos"
OXINTEC,"

10 U.I.","Bovinos, equinos, porcinos, ovinos, caninos y felinos"
BIOMOTIL POLVO,"

10.000'000.000 U.F.C.
80.000'000.000 U.F.C. 
75,2 g
6,7 g
2,2 g","Bovinos, equinos, porcinos, ovinos, caprinos, caninos y felinos"
PIGFEN PREMIX,"

2 g",Porcinos
YODOCUAT 2.5%,"


27,53 g",No aplica
REACTIVO CALIFORNIA MASTITIS TEST (CMT),"

5,4 g",Bovinos
EDO ANTRIPAN,"

100 mg
35 mg
150 mg
50 µg","Bovinos, equinos, ovinos y caninos "
KETOBLAN 50,"

50 mg",Caninos y Felinos
KETOBLAN 300,"

300 mg",Caninos
DIPIRONA SÓDICA 50%,"

0,5 g","Bovinos, equinos, porcinos, ovinos, caprinos y caninos "
HIPPOMAX NF.,"

6 mg
75 mg",Equinos
COMPLEX .55,"

550 µg
55 mg
100 mg
5 mg
25 mg","Bovinos, equinos, ovinos, porcinos y caninos "
FLORCAP,"


5.0 g","Porcinos, peces"
AGNESINA 200 INYECTABLE ,"

200 mg","Bovinos, porcinos, ovinos, caprinos y caninos "
"IVERCAPS 3,15% A.P PREMIUM","

31,5 mg",Bovinos
ENROFLOXACINA 10%,"

100 mg",Porcinos y aves
QTYCON ,"

1,0 g
0,43 g
0,04 g","Bovinos, equinos, porcinos y caninos."
TORCREMA,"

1 g
0,5 g
0,04 g","Bovinos, equinos, ovinos, caninos y felinos "
MAXIVEC,"

100 mg
10 mg",Bovinos
NARAZIN 100,"

100 g",Aves
MASTIPROC,"

22 mg

50 mg

0,30 mg",Bovinos 
FASCIOLAX,"

24 g","Bovinos, caprinos y ovinos"
LOCIÓN DÉRMICA,"

20 mg
5 mg
0,5 mg","Bovinos, equinos, ovinos, caninos y felinos"
CLORPIRIFOS 50 AEROSOL N.F.,"

5 g
0,4 g","Bovinos, equinos, porcinos y caninos "
TENIBLAN 30-200,"

30 mg
200 mg",Caninos
IVERMECTINA 3.15 L.A. BRAIN O.P.,"

32,5 mg",Bovinos
VIVEZOL 25% I,"

250 mg","Bovinos, ovinos y caprinos "
BAÑO SECO KENNEL,"

1 g
0,5 g",Caninos y felinos
CARBIMID,"

120 mg","Bovinos, equinos y caninos "
CIPERMETRINA 15 EC - AUROFARMA,"





150 g",Bovinos
TRICLABENDAZOL 15%,"

15 g",Bovinos y ovinos
ATAKAR,"

2,5 g",Bovinos
FEBENZOL 25% Co,"

25 g","Bovinos, ovinos, caprinos"
PRACAN GOLD,"

150 mg
145 mg

50 mg
30 μg",Caninos
BAÑAMAX,"

15 g",Bovinos
FOXER,"

750.000 U.I
125 mg",Caninos y felinos
TENIBLAN 100-600,"

100 mg
600 mg
",Caninos
SUEROVIT,"


125 mg

125 mg

20 mg

25 mg
35.22 mg

5 g
5 mg

5 mg
0.01 mg

10 mg
5 mg

100 mg
5 mg




168 mg","Bovinos, ovinos"
IVERBLAS,"

1,87 g",Equinos
VITAMINA AD3E,"

600.000 U.I
75.000 U.I
100 U.I","Bovinos, equinos, ovinos, caprinos y porcinos "
KEIADERM BÁLSAMO ACONDICIONADOR,"

3,0 g
3,5 g
0,1 g","Bovinos, equinos, caninos."
CEFAPIRINA ,"

2,63 g",Bovinos
OXITETRACICLINA L.A. 300 mg,"

300 mg","Bovinos, porcinos"
UNIGAN,"


130,35 mg","Bovinos, porcinos"
FAINEX 10%,"

100 mg","Bovinos, ovinos, porcinos, caninos y felinos"
KEPROFEN 28,"         
                         28 mg",Caninos
NETEX SUSPENSION,"

150 mg

145 mg
50 mg
30 μg",Caninos
MOLOC 1 mg,"

1 mg",Caninos
MOLOC 4 mg,"

4 mg",Caninos
EPRIMEC POUR-ON,"
5 mg.",Bovinos
DORAMEC PROLONGER,"

10 mg",Bovinos y porcinos
SANAXIN,"

82,95 mg","Bovinos, equinos, porcinos"
QUINOCALF 15% CDK,"

150 mg","Bovinos, porcinos"
PULMOBROMEX,"


0.3 g
2.0 g
7.0 g",
IVERMECTINA 3.15%,"


31.5 g",Bovinos
IVERMECTINA 1% L.A.,"


10 mg",Bovinos y porcinos
ECTOVERMYN 1% L.A.,10 mg,Bovinos y porcinos
AGTYL SULFA ,"



10 g
10 g",Porcinos
SULFAQUINIPROL 20% DV,"


18.85 g

17.93 g
",Aves y bovinos
OXOLONE ORAL 20%,200 mg ,Aves
TARTYLOSIN DV 100%,"


100 g",Aves
SULFAMETRIN,"


400 mg
80 mg","Bovinos, porcinos, equinos y ovinos"
IVERMECTINA 3.15% L.A.,"


31.5 g",Bovinos
SPIROVET,520000 UI.,"Bovinos, ovinos, porcinos, caprinos, caninos y aves."
LEPIGAN ,5000 mg,"Bovinos, equinos, porcinos y caninos"
CIPERMETRINA 15% E.C. FIGA,150 g,Bovinos
BENZIMEK,"


25 g",Bovinos y ovinos
OTIBLAS,3 mg                                                                                                                1 mg                                                                                                                           5 mg,Caninos y felinos.
CLORPIRIFOS E.C 24% FIGA,                            240 mg,Bovinos
ISOMIX MK,                        120 mg,"Bovinos, equinos y caninos "
PET LIFE DERMOHIDRATANTE SHAMPOO,"2,5 mg",Caninos y felinos
HEMOZUL-T ,"


40 mg
100 mg
150mg
15 mcg","Bovinos, equinos y caninos "
HEMO-4,"                                 40 mg                100 mcg                    500 mcg                                   12,5 mg                             10 mg                                   5 mg                                   2,5 mg                       1,6 mg                  ","Bovinos, equinos, ovinos, porcinos y caninos "
VITIDINE ,"                         27,53 g          ",No aplica
PENINCILINA 7.500.000,                            125.000 U.I          93.750 U.I          93.750 U.I ,"Bovinos, equinos, ovinos, porcinos, caninos y felinos "
NEXAMETRINA E.C. 20%,"



20 g",Bovinos
MIKOMAX,"

200 mg",Caninos y felinos
DIATETRA,"                                40,0 mg                               100.0 mg               150.0 mg                  15.0 mcg               ","Bovinos, equinos y caninos "
TIOFUR,"

50 mg","Bovinos, Porcinos."
PARTOMEK,"


20 U.l.","Bovinos, equinos, porcinos, ovinos, caprinos, caninos y felinos "
HIERRO DEXTRAN + VITAMINA B12,                                1 g,Porcinos y bovinos
CEFTIGROZ,"


50 mg","Bovinos, porcinos, caninos  y equinos "
FLUVIGROZ,"


200.000U.l
250 mg
0.0625 mg","Bovinos, equinos, porcinos, ovinos y caprinos "
EDIFOZ 22%,"


220 mg
2.4 mg
17.80 mg
0.3 mg

0.953 mg
","Bovinos, equinos y porcinos "
LA GRUA LECHERA ,"                                 500.000 UI                   75.000 UI                                                                                                             500 UI                   5000 µg                 50 mg                                                      700 mg                   200 mg                                  280 mg               125 mg                  25 mg                           250 mg                         350 mg              210 mg               100 mg                    1500 mg               10 mg                   2,0 mg                 2,0 mg                         225 mg                                   210 mg                     15 mg                 42 mg                                750 mg                                                                                ","Equinos, bovinos, ovinos y caprinos "
SINARQ,"


2 mg","Bovinos, equinos, porcinos, caninos y felinos"
DEVOLIT CALCIO,"


207 mg
48.99 mg
71.11 mg

150 mg","Bovinos, equinos, ovinos, porcinos y caninos "
FLORFENICOL PREMIX,,
AMPICILINA TRIHIDRATO 50%,"


50 g",Aves
PROBIOSAN,,
INZOO-B COMPLEX,,
AMPROMAX,"


25 g
6.8 g",Bovinos y ovinos 
KEIAPRIM,,
DORAVET INYECTABLE 1%,"


10 mg",Bovinmos y porcinos
TRABAC L.A.,"


300 mg",Bovinos y porcinos 
OTIVET,"

10.000 Ul
40 mg
3.75 mg
1 mg","Equinos, caninos y felinos"
FORTIGAN AD₃ E INYECTABLE,"


5000.000U.I.
2.000 U.I.
200 U.I","Bovinos, equinos, porcino, ovinos y caprinos "
IVERDOG,"


100 mg",Caninos
AGTYL PREMIX,"


10 g",Aves y porcinos
FARMACLIN -20,                           20 g,No aplica
COMPLE-AGROZ 500,"


125 mg
50 mg
500 µg
10 mg","Bovinos, Caninos, Caprinos, Equinos, Ovinos y Porcinos"
BIOCLIN,                               8 g                         12 g,No aplica
COUNT-CEF S.I,"


57.1 mg",Bovinos y porcinos
ENROPROC 10%,                                100 mg,Aves
FEXTRAN B12,"
100 mg",Bovinos y porcinos
PIRANTEL- FEBANTEL Y PRAZIQUANTEL,"
14.5 g
15 g
5 g","Caninos, Felinos"
VITAMAX,                               10 mg                     30 mg                    100 mg                 50 mcg               5 mg                                                                                                                  ,"Bovinos, equinos, ovinos, caprinos, porcinos, caninos y felinos "
DERMI-CARE,"



0.5 g.
1 g.
0.05 g.
2 g.
5 g.
","Caninos y felinos, equinos y bovinos"
VERMIPLEX N.F.,"


300 mg
60 mg
60 mg",Caninos
SEDOLAX VET GOTAS,"



4.46 mg",Caninos y felinos
FENBECUR 25% CO,"



25 mg","Bovinos, ovinos, caprinos, equinos, porcinos, caninos y felinos"
IVERMECTINA 2% L.A.,"
200 mg",Bovinos
DESODINE,"
27.53 g",No aplica
TYLOCHEM,"


200 mg",Bovinos y porcinos 
TYLPRAN 200,                                 200 mg,Bovinos y porcinos
CIPROFLOXACINA 10%,                                    100 mg,Aves
IVERMECTINA 1% L.A.,                             1 g,"Bovinos, porcinos "
CANNEX,"
150 mg
150 mg
50 mg",Caninos
SINPULGAR TABLETAS,"

205.90 mg



409.80 mg",Caninos y Felinos
SEDOLAX VET INYECTABLE,"
5 mg",Caninos y felinos
JABON KENNEL CON PERMETRINA E IRGASAN ,                                    1.0 g                             0.5 g,Caninos y felinos
CIPERMEK,"
150 g",Bovinos
MILTICIDE,"
58.0 g
61.5 g
84.0 g
10.0 g",No aplica
GAXTRAX,"
4 mg",Caninos
KEIATEL,                                     145 mg                                 25 mg                             75 mg                 ,Caninos y felinos
FOSFAGROZ NF,"


100 mg
1,12 mg
0,34 mg
0,8 mg
0,05 mg
50 mg","Bovinos, equinos, porcinos, ovinos, caprinos y caninos "
IVERGROZ 3.15% L.A.,"


31.5 g",Bovinos
MEGLUFUN,"

50 mg","Bovinos, equinos y porcinos"
VERMECTIN HORSE,"


18,7 mg
140,3 mg",Equinos 
ALFAGROZ POMADA,"


1,0 g
5,0 g
3,0 g
10,0 g
3,0 g","Bovinos, equinos, ovinos, caprinos, porcinos y caninos"
CLORPIRIFOS E.C. 24%,"


240 g",Bovinos
APRAVAL PREMIX,                               10 g,Porcinos
FLORFENICOL 10%,                         10 g,Aves
FENBENDAZOL 15%,"


15 g",Bovinos y ovinos
TYLOX,"


20 g","Bovinos, porcinos, ovinos, caprinos y aves "
KEIAVIT SUSPENSION,"                                20 g                          150 mg                               50000 UI.            2000 UI.                                   25 mg                               10 mg                            10 mg                  30 mg                       30 mg                               3,5 mg        ","Bovinos, equinos, ovinos, porcinos, caninos y felinos "
GENTAVIT 20,"

20 mg",Aves
PIRAMICIN 13,"

520.000 U.I.","Bovinos, porcinos, ovinos y caninos"
ADEMAX 500,"

2'500.000 U.I.
500.000 U.I.
2.500 U.I. ","Bovinos, ovinos, caprinos"
ENROAVIC DV 20%,"

200 mg",Aves
NORFLAFIN DV 20%,"

200 mg",Aves
COXIVET 12%,"

12 g",Aves
ASAVIC P.S.,"

60 g
",Aves
FIMECTIN 1% INYECTABLE,"

10 mg",Bovinos y porcinos
MASTIBLAS,"

20 mg
50 mg
0,30 mg",Bovinos
FLOXAGEN 200,"

200 mg",Aves
PULGIN,"

25 g","Equinos, caninos y felinos"
TRIVERMIN,"

150 mg
144,93 mg
50 mg",Caninos y felinos
TERRAMEK L.A.,"

200 mg","Bovinos, Ovinos, Caprinos, Porcinos y Aves  "
KIADERM CHAMPÚ MEDICADO PARA CANINOS,"

3,5 g",Caninos
DORAGAN,"

10 mg","Bovinos, ovinos y porcinos"
STAR TOX 20%,"

208 g",Bovinos
REPROMIN,"

100 mg
13,2 mg
20 mg
0,22 mg","Bovinos, equinos, porcinos, ovinos, caprinos y caninos"
SECALIX,"

700 mg
303 mg",Bovinos
VITAMINAS ORALES,"

25.000 U.I.
100 mg
10 mg
5 mg
5 mg
0,1 mg
45 mg
10 mg","Bovinos, ovinos, caprinos"
NEOMICINA SULFATO 50%,"

 50 g",Aves
ELECTRO-LITE ,"

55,8 g
20,3 g
18,1 g
5,8 g","Bovinos, equinos, porcinos y aves"
FENOL VIOLETA,"

0,5 g
1,0 g","Bovinos, ovinos, equinos, porcinos, caninos y felinos"
IVERMECTINA 2% + PRAZIQUANTEL 15%,"

20 mg
150 mg",Equinos
MECTIMEK 1% L.A.,"

10 mg",Bovinos y porcinos
"MECTIMEK 3,15% ","

31,5 mg",Bovinos
