No REGISTRO,FECHA OTORGADO REGISTRO Y No RESOLUCION,FECHA MODIFICACION  Y Nª RESOLUCION,NOMBRE DEL PRODUCTO,NOMBRE EMPRESA,INGREDIENTE ACTIVO,CONCENTRACION,CAT TOXIC,CLASE DE PRODUCTO,TIPO FOR.,PAIS DE ORIGEN DEL PRODUCTO FORMULADO,CULTIVO,Name
633,06-11-2009/ 4170,"28-03-2012/ 847
27-08-2012/ 2767
15-07-2019/ 9815",DIURON YASER 80% WG,YASER S.A.S,"DIURON
91 de 365",80 g/kg,III,HERBICIDA,WG,CHINA,CAÑA DE AZUCAR,Table_11
634,07-01-2010/ 0012,"06-05-2013/ 2054
15-04-2016/ 4072
08-06-2016/ 6679
18-04-2017/ 4224
09-05-2018/ 24437
20-03-2019/ 3099
02-04-2020/ 064975
06-08-2020/ 072830",BENOFUNG 500 WP,ALTRIA CROP CARE S.A.S,BENOMYL,500 g/L,III,FUNGICIDA,WP,CHINA,"ARROZ,  FRIJOL",Table_11
635,13-11-2009/ 4279,31-01-2020/ 61149,GLIFOCIDA 480 SL,LABORATORIOS CHALVER DE COLOMBIA S.A,GLIFOSATO,355 g/lL equivalente a 480g/lt en forma de sal,II,HERBICIDA,SL,COLOMBIA,"ARROZ, CAFÉ, PASTOS CAÑA DE AZUCAR, PLATANO",Table_11
636,24-11-2009/ 4585,"05-12-2011/ 4734
31-01-2020/ 61165",MULTIQUAT 200 SL,LABORATORIOS CHALVER DE COLOMBIA S.A,PARAQUAT,200 g/L,1A,HERBICIDA,SL,COLOMBIA,"PAPA, ARROZ",Table_11
637,11-11-2009/ 4227,"09-12-2013/ 5130
09-02-2015/ 314
17-09-2019/ 14441",CLANKER EC,AGROSER  S.A,CLOMAZONE,480 g/L,III,HERBICIDA,EC,"VENEZUELA INDIA
CHINA",ARROZ,Table_11
638,13-11-2009/ 4278,17-09-2019/ 14479,HELICAL 500 SC,TECNOQUIMICAS  S.A,IPRODIONE,500 g/L,II,FUNGICIDA,SC,COLOMBIA   CHINA,ROSA,Table_11
639,11-11-2009/ 4229,"29-10-2014/ 3484
09-02-2015/ 312
22-06-2015/ 2021
15-01-2018/ 19116","KRAFT 3,6 EC",FMC COLOMBIA S.A.S,ABAMECTINA,36 g/L,II,INSECTICIDA,EC,DINAMARCA,"CEBOLLA, ROSA, CLAVEL, AGUACATE, NARANJA, TOMATE",Table_11
640,24-11-2009/ 4586,"04-11-2011/ 4849
10-08-2012/ 2534
04-10-2012/ 3755
27-07-2014/ 1996
13-10-2016/ 14230
27-02-2017/ 2122
19-12-2018/ 39129
15-05-2020/ 067865
16-06-2020/  069931",FIPROFED 200 SC,"FEDERACION NACIONAL DE ARROCEROS  ""FEDEARROZ""","FIPRONIL
92 de 365",200 g/L,II,INSECTICIDA,SC,COLOMBIA INDIA,PAPA,Table_11
641,24-11-2009/ 4587,"29-02-2012/ 531
26-04-2016/ 4566
06-07-2016/ 8298
20-12-2018/ 39212",PROPICONAFED® 25 EC,"FEDERACION NACIONAL DE ARROCEROS  ""FEDEARROZ""",PROPICONAZOLE,250 g/L,II,FUNGICIDA,EC,INDIA COLOMBIA,"ARROZ,  BANANO, CEBOLLA, PLATANO",Table_11
642,10-12-2009/ 4828,"29-03-2011/ 1530
06-03-2013/ 1232
05-04-2016/ 3461
12-02-2020/ 61975",SANTIMEC,INTEROC S.A SUCURSAL COLOMBIA,ABAMECTIN +   PYRIDABEN,"12 g/L
90 g/L",II,INSECTICIDA ACARICIDA,EC,CHINA,"ROSA, TOMATE,  LIMON, MANDARINA,  LIMA, TANGELO, TORONJA, NARANJA, AGUACATE",Table_11
643,25-01-2010/ 0358,"28-02-2014/ 714
19-02-2015/ 492",CENTRIC® 75 SG,SYNGENTA S.A,THIAMETHOXAM,750 g/kg,III,INSECTICIDA,SG,ESTADOS UNIDOS,"CAÑA DE AZUCAR, ARROZ",Table_11
644,10-12-2009/ 4829,"30-05-2012/ 1602
13-11-2012/ 4594",APRON XL 350 ES,SYNGENTA S.A,METALAXYL-M,350 g/L,II,FUNGICIDA,ES,FRANCIA  ESPAÑA,"MAIZ, TABACO.",Table_11
645,10-12-2009/ 4830,"15-03-2011/ 1354
03-10-2012/ 3712
31-03-2014/ 1029
21-05-2015/ 1500
07-03-2016/ 2210",IXUS® 200 SC,ROTAM AGRO COLOMBIA S.A.S,FIPRONIL,200 g/L,II,INSECTICIDA,SC,"CHINA,  COLOMBIA","PAPA, ARROZ, ROSA, ALGODÓN, PASTO, KIKUYO",Table_11
646,18-12-2009/ 5122,,SHARLOFOP 18 EC,SHARDA COLOMBIA S.A,CYHALOFOP BUTYL ESTER,180 g/L,III,HERBICIDA,EC,INDIA,ARROZ,Table_11
647,18-12-2009/ 5136,13-09-2016/ 12093,SHARFENOX 69 EC,SHARDA COLOMBIA S.A,"FENOXAPROP-P-ETIL
93 de 365",69 g/L,III,HERBICIDA,EC,INDIA,ARROZ,Table_11
648,10-03-2010/ 0986,"15-04-2016/ 4072
08-06-2016/ 6679
07-04-2017/ 4075
09-05-2018/ 24437
20-03-2019/ 3099
07-04-2020/ 065164
06-08-2020/ 072830",ANDIMORF 500 WP,ALTRIA CROP CARE S.A.S,DIMETHOTHOMORPH,500 g/L,III,FUNGICIDA,WP,CHINA,PAPA,Table_11
649,22-12-2009/ 5189,12-02-2020/ 61930,CLORFOS,LABORATORIOS CHALVER DE COLOMBIA S.A,CLORPIRIFOS,25 g/kg,III,INSECTICIDA,DP,COLOMBIA,"FRUTALES, HORTALIZAS",Table_11
650,18-12-2009/ 5139,"23-04-2013/ 1886
28/09/2017/ 11842",FRUPICA 40 SC,SUMMIT AGRO COLOMBIA S.A.S,MEPANIPYRIM,436 g/L,II,FUNGICIDA,SC,JAPON,"CLAVE, ROSAS",Table_11
651,18-12-2009/ 5143,11-08-2016/ 10227,SHARDIMORF 500 WP,SHARDA COLOMBIA S.A.S,DIMETHOMORPH,500 g/L,III,FUNGICIDA,WP,INDIA,"ROSA, CEBOLLA, PAPA",Table_11
652,31-03-2010/ 1208,"18-09-2012/ 3224
10-12-2012/ 5350",FANTIC® M WG,ISAGRO COLOMBIA S.A.S,BENALAXIM-M + MANCOZEB,"40 g/kg
650 g/kg",III,FUNGICIDA,WG,ITALIA,"PAPA, ROSAS, TOMATE",Table_11
"0653
CANCELADO",31-03-2010/ 1207,"06-12-2010/ 4031
27-08-2012/ 2765
21-04-2015/ 1194
11-12-2020/081227",VALIS ®M WG,FMC LATINOAMERICA S.A,VALIPHENAL + MANCOZEB,"60 g/Kg              600
g/Kg",III,FUNGICIDA,WG,ITALIA BRASIL,"PAPA, ROSAS, TOMATE",Table_11
654,14-12-2009/ 5017,,CARBENDAZIM INPRO 500 SC,INPROARROZ LTDA,"CARBENDAZIM
94 de 365",500 g/L,III,FUNGICIDA,SC,CHINA,ARROZ,Table_11
655,10-12-2009/ 4827,"06-12-2010/ 4026
08-02-2017/ 997
07-02-2017/ 980",LAVA 800 WG,ARYSTA LIFESCIENCE COLOMBIA S.A.S,TEBUTHIURON,816 g/kg,III,HERBICIDA,WG,BRASIL  SUDAFRICA,CAÑA DE AZUCAR,Table_11
656,10-12-2009/ 4825,"19-08-2011/ 3322
01-04-2020/ 064839",CIPERTRIN® 200 EC,LABORATORIOS CHALVER DE COLOMBIA S.A,CYPERMETRIN,200 g/L,II,INSECTICIDA,EC,COLOMBIA,"ARROZ, PAPA",Table_11
657,18-12-2009/ 5141,08-09-2011/ 3559,BATON SP,NUFARM COLOMBIA S.A,"2,4-D",800 g/kg,III,HERBICIDA,SP,INDIA,"ARROZ, CAFÉ, CAÑA DE AZUCAR, POTREROS,
PALMA AFRICANA",Table_11
658,18-12-2009/ 5134,21-12-2017/ 17966,SHARLEFENURON 50 EC,SHARDA COLOMBIA S.A.S,LUFENURON,50 g/L,III,INSECTICIDA,EC,INDIA,"ARROZ, MAIZ",Table_11
659,08-01-2010/ 0035,11-04-2012/ 934,HELMPOWER 330 EC,HELM ANDINA LTDA,PENDIMTHALIN,330 g/L,III,HERBICIDA,EC,ECUADOR,"ARROZ, MAIZ",Table_11
660,15-02-2010/ 0702,"02-09-2011/ 3516
01-10-2015/ 3527",PANORAMIC® 240 SL,ADAMA ANDINA B.V SUCURSAL COLOMBIA,IMAZAPIC,240 g/L,III,HERBICIDA,SL,COLOMBIA ISRAEL,CAÑA DE AZUCAR,Table_11
661,18-12-2009/ 5133,"09-06-2011/ 2480
13-09-2016/ 12099",SHARCLORAZ 45 EC,SHARDA COLOMBIA S.A.S,"PROCHLORAZ
95 de 365",450 g/L,II,FUNGICIDA,EC,INDIA,"ROSA, ARROZ",Table_11
662,18-12-2009/ 5132,"17-07-2013/ 3187
26-12-2018/ 39886
05-02-2020/ 61396",QUON 250 EC,PHYTOCARE S.A.S,TEBUCONAZOLE,250 g/L,II,FUNGICIDA,EC,CHINA,ARROZ,Table_11
663,18-12-2009/ 5142,"01-03-2011/ 1140
17-03-2015/ 776
28-06-2019/ 8805",PALADIUM 250 EC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,DIFENOCONAZOLE,250 g/L,II,FUNGICIDA,EC,ISRAEL  COLOMBIA,"BANANO, PLATANO",Table_11
664,18-12-2009/ 5146,"11-04-2012/ 935,
27-03-2015/ 1003",VINCARE®,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,BENTHIAVALICARB-ISOPROPYL + FOLPET,"17,5 g/kg            500
g/kg",III,FUNGICIDA,WG,ISRAEL COLOMBIA,"PAPA, MELON, TOMATE, ROSA, CLAVEL",Table_11
665,18-12-2009/ 5131,"16-12-2011/ 4917
15-06-2012/ 1764
18-03-2015/ 808
28-06-2019/ 8782",TRIGOLD 250 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,KRESOXIM-METHYL EPOXICONAZOLE,"125 g/L            125
g/L",III,FUNGICIDA,SC,COLOMBIA,ARROZ,Table_11
666,18-12-2009/ 5138,08-05-2018/ 24325,SHARFENTRAZONE 400 EC,SHARDA COLOMBIA S.A,CARFENTRAZONE ETHYL,400 g/L,II,HERBICIDA,EC,INDIA,"ARROZ, PAPA",Table_11
667,07-01-2010/ 0013,"03-10-2011/ 3844
20-11-2017/ 15257
11-05-2020/ 067481",PELICAN® 500 SC,FMC COLOMBIA S.A.S,DIFLUFENICAN,500 g/L,II,HERBICIDA,SC,ALEMANIA,ARROZ,Table_11
668,18-12-2009/ 5126,,SHARCLOMAZON 48 EC,SHARDA COLOMBIA S.A,"CLOMAZONE
96 de 365",480 g/L,II,HERBICIDA,EC,INDIA,ARROZ,Table_11
669,18-12-2009/ 5140-,"26-08-2011/ 3443
07-05-2015/ 1376",RECIO 400 EC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,ISOPROTIOLANE,400 g/L,II,FUNGICIDA,EC,CHINA   COLOMBIA,ARROZ,Table_11
670,07-01-2010/ 0010,"22-07-2019/ 10460
SE CANCELA REGISTRO CON RESOLUCION No 071365 DEL 10-07-2020",TWINVAX,TECNOQUIMICAS  S.A,PICLORAM +  METSULFURON METHYL,240 g/L        600 g/L,III,HERBICIDA,SL+ WG,CHINA   COLOMBIA,POTREROS,Table_11
671,07-01-2010/ 0014,01-11-2011 / 4189,ROKO 480 SL,C.I BANACOL S.A,GLIFOSATO,480 g/L,III,HERBICIDA,SL,CHINA,BANANO,Table_11
672,18-12-2009/ 5145,"29-03-2011 / 1531
25-01-2013 / 247
19-02-2015/ 469",ARCO 100 SL,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,CYPROCONAZOLE,100  g/L,III,FUNGICIDA,SL,COLOMBIA,"ARROZ, CAFÉ, CLAVEL",Table_11
673,03-03-2010/ 0927,"02-09-2011 / 3517
31-03-2016/ 3230",SEEDOPRID® 60 FS,ADAMA ANDINA B.V SUCURSAL COLOMBIA,IMIDACLOPRID,600 g/L,II,INSECTICIDA,FS,ISRAEL,ARROZ,Table_11
674,18-12-2009/ 5135,13-09-2016/ 12097,DIFLIBENSH 25 WP,SHARDA COLOMBIA S.A.S,DIFLUBENZURON,250 g/kg,III,FUNGICIDA,WP,INDIA,"ARROZ, SORGO",Table_11
675,07-01-2010/ 0007,11-01-2013 / 031,MANCOZEB WOHL 200 WG,WOHL LTDA  C.I,"MANCOZEB
97 de 365",200 g/kg,III,FUNGICIDA,WG,CHINA,ARROZ,Table_11
676,07-01-2010/ 0008,11-01-2013 / 030,BUTHAMARK 600 EC,WOHL LTDA  C.I,PENDIMETALINA,330 g/kg,III,HERBICIDA,EC,CHINA,ARROZ,Table_11
677,18-12-2009/ 5123,"30-12-2010/ 4513
11-11-2015/ 304
05-05-2019/ 5914",ATILA 747 SG,NUFARM COLOMBIA S.A,GLIFOSATO,680 g/kg equivalente a 747g/l en forma de sal,III,HERBICIDA,SG,CHINA,"ARROZ, PALMA, CAFÉ",Table_11
678,19-05-2010/ 1660,"05-12-2011/ 4741
29-09-2014/ 3106
19-09-2016/ 12509",METSUAGRO® 600 WG,HELM ANDINA LTDA,METSULFURON METHYL,600 g/kg,II,HERBICIDA,WG,CHINA,"ARROZ, CAÑA DE AZUCAR, POTREROS, PALMA",Table_11
679,07-01-2010/ 0017,"29-07-2016/ 9605
22-07-2019/ 10462",BONANZA® 240 SL,TECNOQUIMICAS  S.A,"2,4 D +   PICLORAM","160 g/L equivalente 480 g/L en forma de sal , 80 g/L equivalente 138 g/L en forma de sal",II,HERBICIDA,SL,COLOMBIA   CHINA,POTREROS,Table_11
680,22-12-2009/ 5206,22-01-2014/ 262,ZOLDIFEN 250 EC,LABORATORIOS CHALVER DE COLOMBIA S.A,DIFENOCONAZOLE,250 g/L,II,FUNGICIDA,EC,COLOMBIA,"PLATANO,TOMATE, ARROZ,
CEBOLLA BULBO",Table_11
681,07-01-2010/ 0011,"10-05-2011/ 1994
27-07-2019/ 10998
12-12-2019/ 20327
01-04-2020/ 064851",ZIMCARBEN® 500 SC,LABORATORIOS CHALVER DE COLOMBIA S.A,CARBENDAZIM,500 g/L,III,FUNGICIDA,SC,COLOMBIA,"TOMATE, ARROZ, CAFE",Table_11
682,07-01-2010/ 0009,,CITENEX SC,AGROSER  S.A,"PYRAZOSULFURON- ETIL
98 de 365",250 g/L,III,HERBICIDA,SC,VENEZUELA,ARROZ,Table_11
683,07-01-2010/ 0018,"23-09-2016/ 12865
11-04-2019/ 4713",BONANZA 165 SL,TECNOQUIMICAS  S.A,"2,4 D + PICLORAM","150 g/L
15 g/L",II,HERBICIDA,SL,COLOMBIA   CHINA,POTREROS,Table_11
684,07-01-2010/ 0027,"03-05-2011/ 1865
23-10-219/ 18950",SOFORT EC,RED SURCOS COLOMBIA LTDA,LAMBDA-CYHALOTRIN,50 g/L,II,INSECTICIDA,EC,ESPAÑA,ARROZ,Table_11
685,07-01-2010/ 0022,"26-08-2011/ 3462
12-06-2015/ 1922
24-06-2019/ 8494",SHOOTER® 380 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,OXADIAZON,380 g/L,III,HERBICIDA,SC,COLOMBIA,ARROZ,Table_11
686,15-02-2010/ 0700,15-03-2011/ 1349,EMCYM 72 WP,QUIMICOS OMA S.A,,"640 g/kg
80 g/kg",III,FUNGICIDA,WP,INDIA,"ARVEJA, CEBOLLA, PAPA, TOMATE",Table_11
687,01-03-2010/ 0893,11-05-2011/ 2028,BRINNK WP,RED SURCOS COLOMBIA LTDA,PROPINEB+ CYMOXANIL,"700 g/kg
60 g/kg",III,FUNGICIDA,WP,ESPAÑA,PAPA,Table_11
688,15-02-2010/ 0701,"23-08-2016/ 10481
01-02-2017/  729",FUERA 120 EC,ARYSTA LIFESCIENCE COLOMBIA S.A.S,QUIZALOFOP -P-TEFURIL,120 g/L,II,HERBICIDA,EC,BRASIL ARGENTINA,ARROZ,Table_11
689,25-01-2010/ 0361,27-12-2013/ 5584,PROPICONAZOL INPRO 250 EC,INPROARROZ S.A,"PROPICONAZOLE
99 de 365",250 g/L,II,FUNGICIDA,EC,CHINA,ARROZ,Table_11
690,25-01-2010/ 0359,28-02-2014/ 723,"2,4-D AMINA INPRO SL",INPROARROZ S.A,"2,4-D AMINA",597 g/L,II,HERBICIDA,SL,CHINA,ARROZ,Table_11
691,25-01-2010/ 0360,28-02-2014/ 722,BUTACLOR INPRO 600 EC,INPROARROZ S.A,BUTACLOR,600 g/L,III,HERBICIDA,EC,CHINA,ARROZ,Table_11
692,25-01-2010/ 0356,,GLIFOSATO INPRO SL,INPROARROZ LTDA,GLIFOSATO,"355,6 g/L
80 g/L",III,HERBICIDA,SL,CHINA,ARROZ,Table_11
693,15-03-2010/ 1033,28-02-2014/ 713,BISPYRIBAC INPRO 100 SC,INPROARROZ S.A,BISPYRIBAC SODIUM,100 g/L,III,HERBICIDA,SC,CHINA,ARROZ,Table_11
694,05-02-2010/ 0617,"26-08-2011/ 3447
19-02-2015/ 470
24-06-2019/ 8531",ARMY 400 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,BISPYRIBAC SODIUM TECNICO,400 g/lL,III,HERBICIDA,SC,COLOMBIA,ARROZ,Table_11
695,07-01-2010/ 0020,"29-01-2010/ 0547
10-08-2011/ 3234
23-10-2019/ 16949",RESTAR® SC,RED SURCOS COLOMBIA LTDA,FIPRONIL,200 g/L,II,INSECTICIDA,SC,CHINA,PAPA,Table_11
696,06-04-2010/ 1224,"24-06-2011/ 2803
25-01-2013/ 242
20-08-2015/ 2900
08-06-2016/ 6696
30-07-2020/ 072355",HEAT® WG,BASF QUIMICA COLOMBIANA S.A,"SAFLUFENACIL
100 de 365",700 g/kg,III,HERBICIDA,WG,PUERTO RICO BRASIL,"ARROZ, MAIZ, BANANO, PALMA, CAFÉ, CITRICOS,
PAPA, SOYA,  PINO, LIMON, EUCALIPTO",Table_11
697,26-02-2010/ 0869,"15-04-2016/ 4072
08-06-2016/ 6679
07-04-2017/ 4073
09-05-2018/ 24437
20-03-2019/ 3099
16-04-2020/ 065443
06-08-2020/  072830",ANDILUFEN,ALTRIA CROP CARE S.A.S,LUFENURON,50 g/L,III,INSECTICIDA,EC,CHINA,MAIZ,Table_11
698,03-03-2010/ 0926,15-07-2016/ 8761,SHARMIDACLOPRID 600 FS,SHARDA COLOMBIA S.A.S,IMIDACLOPRID,600 g/L,II,INSECTICIDA,FS,INDIA,"PAPA, ARROZ, MAIZ",Table_11
699,09-04-2010/ 1267,,PADROTE® WG,AGROSER  S.A,PICLORAM + METSULFURON  METHYL,"240 g/L             600
g/Kg",III,HERBICIDA,SL  +  WG,VENEZUELA,POTREROS,Table_11
700,10-03-2010/ 0974,"19-10-2015/ 3702
03-04-207/ 3686",POLYCAL,SAFER AGROBIOLOGICOS S.A.S,POLISULFURO DE CALCIO,200 g/L,III,FUNGICIDA,SL,COLOMBIA,"ROSA, MANGO, AGUACATE",Table_11
701,19-05-2010/ 1644,"27-08-2012/ 2772
02-09-2016/ 11313",DIMANCO® 69 WP,SHARDA COLOMBIA S.A,DIMETHOMORPH + MANCOZEB,"90 g/L
600 g/L",III,FUNGICIDA,WP,INDIA,"PAPA, ROSA, TOMATE",Table_11
702,10-03-2010/ 0983,"05-05-2011/ 1898
01-06-2012/ 1629
27-03-2015/ 1004",QUIMERA® 500 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,IPRODIONE,500 g/L,III,FUNGICIDA,SC,ISRAEL  COLOMBIA,"ORNAMENTALES (ROSA), TOMATE, UCHUVA, LULO,
BERENJENA, PIMENTON, AJIES, TOMATE DE ARBOL.",Table_11
703,10-03-2010/ 0984,"18-02-2014/ 554
14-07-2015/ 2411
05-12-2016/ 1847
06-03-2017/ 2446
16-05-2018/ 24783
24-04-2020  066025",NUTAR® 250 WG,NUFARM COLOMBIA S.A,"THIAMETHOXAM
101 de 365",250 g/Kg,II,INSECTICIDA,WG,CHINA,"TOMATE, ARROZ, POTREROS, SOYA, ALGODÓN, PAPA, CAFÉ, ORNAMENTALES (ROSA)",Table_11
704,10-03-2010/ 0985,"15-04-2016/ 4072
08-06-2016/ 6679
27-04-2017/ 4953
09-05-2018/ 24437
20-03-2019/ 3099
16-04-2020/ 065459
06-08-2020/  072830",PICLOGAN SL,ALTRIA CROP CARE S.A.S,"PICLORAM     2,4-D",64 g/L,III,HERBICIDA,SL,CHINA,POTREROS,Table_11
705,19-05-2010/ 1641,,SHARCYALOTRINA 5% EC,SHARDA COLOMBIA S.A,LAMBDA- CYHALOTHRIN,50 g/L,II,INSECTICIDA,EC,INDIA,"ROSA, PAPA, CEBOLLA, ARROZ",Table_11
706,03-03-2010/ 0919,21-04-2015/ 1201,KESTREL® 20 SP,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,ACETAMIORID,200 g/kg,II,INSECTICIDA,SP,COLOMBIA,TOMATE,Table_11
707,09-04-2010/ 1270,"06-12-2010/ 4030
20-11-2017/ 15259
CANCELADO CON RESOLUCION No .069289
DEL 04-06-2020",LOOP® 240 SC,FMC COLOMBIA S.A.S,NICOSULFURON,240 g/L,II,HERBICIDA,SC,AUSTRIA ALEMANIA DINAMARCA,MAIZ,Table_11
708,29-04-2010/ 1515,21-10-2016/ 14780,SHARMINA 72 SL,SHARDA COLOMBIA S.A,"2,4-D",723 g/L,II,HERBICIDA,SL,INDIA,"ARROZ, MAIZ",Table_11
709,08-03-2010/ 0951,"02-09-2011/ 3513
05-03-2014/ 760
29-09-2014/ 3102
04-08-2015/ 2737
02-04-2020/ 064972",VERDADERO® 600  WG,SYNGENTA S.A,CYPROCONAZOLE + THIAMETHOXAM,"300 g/Kg,
300 g/Kg",III,INSECTICIDA FUNGICIDA,WG,BRASIL,"ARROZ, CAFÉ, SOYA",Table_11
710,15-03-2010/ 1031,05/05/2014/ 1255,OXIFLUORFEN INPRO 240 EC,INPROARROZ S.A.,"OXIFLUORFEN
102 de 365",240 g/L,III,HERBICIDA,EC,CHINA,ARROZ,Table_11
712,09-04-2010/ 1265,"29-10-2012/ 4257
24-04-2018/ 23681",MORSE BRIO 200 SC,QUIMICOS OMA S.A,FLUFENOXURON,200 g/L,III,INSECTICIDA,SC,COLOMBIA,"ROSA,  ARROZ, CLAVEL, MAIZ, PALMA ACEITERA",Table_11
713,06-04-2010/ 1225,,LATHIX BRIO 108 SC,QUIMICOS OMA S.A,HEXITHIAZOX,108 g/L,III,ACARICIDA,SC,COLOMBIA,"ROSA, CLAVEL",Table_11
714,07-05-2010/ 1572,02-09-2016/ 11321,SHARFIP 80 WG,SHARDA COLOMBIA S.A.S,FIPRONIL,800 g/L,III,INSECTICIDA,WG,INDIA,"ARROZ, ROSA",Table_11
715,09-04-2010/ 1263,"01-02-2012/ 0215
30-04-2014/ 1223
22-08-2018/ 30622
16-04-2020/ 065451",DIFUSE® 480 SC,ARYSTA LIFESCIENCE COLOMBIA S.A.S,DIFLUBENZURON,480 g/L,II,INSECTICIDA,SC,BELGICA CHINA,"ARROZ, ALGODÓN, MAIZ, SOYA, PALMA  AFRICANA, TOMATE",Table_11
716,19-04-2010/ 1366,02-07-2015/ 2294,CIPERMETRINA INPRO 200 EC,INDUSTRIA PRODUCTORA DE ARROZ S.A  INPROARROZ S.A,CIPERMETRINA,200 g/L,II,INSECTICIDA,EC,CHINA,"ARROZ, PAPA",Table_11
717,09-04-2010/ 1266,"26-06-2012/ 1839
26-04-2016/ 4563
06-12-2017/ 16868",DICARZOL 50 SP,MAYORISTAS AGRICOLAS S.A MAGRO S.A,HIDROCLORATO DE FORMETANATO,582 g/Kg,IB,INSECTICIDA,SP,"ESTADOS UNIDOS, FRANCIA","ROSA, CLAVEL, TOMATE, PAPA",Table_11
718,07-05-2010/ 1574,,ATHRIN BRIO 100 SC,QUIMICOS OMA S.A,"LAMBDA- CYHALOTRIN
103 de 365",100 g/L,1B,INSECTICIDA- ACARICIDA,SC,COLOMBIA,"ALGODÓN, ARROZ, CLAVE,L,  FRIJO, MAIZ, PAPA, POMPON, ROSA, TOMATE",Table_11
719,21-04-2010/ 1395,26-10-2019/ 17135,DIFON BRIO 160 SC,QUIMICOS OMA S.A,TETRADIFON,160 g/L,II,ACARICIDA,SC,COLOMBIA,"CLAVEL, ROSA",Table_11
720,19-04-2010/ 1374,02-09-2016/ 11320,SHARMETHRIN 38 EC,SHARDA COLOMBIA S.A.S,PERMETHRIN,380 g/L,III,INSECTICIDA,EC,INDIA,"ARROZ, PAPA, MAIZ",Table_11
721,09-04-2010/ 1268,,INDOFIL M- 45,AGRICSERVICES COLOMBIA LTDA,MANCOZEB,600 g/Kg,II,FUNGICIDA,WP,INDIA,PAPA,Table_11
722,14-04-2010/ 1308,"14-12-2015/ 2607
15-06-2018/ 26778",INSTINCT 750 EC,FMC COLOMBIA S.A.S,FENPROPIDIN,750 g/L,II,FUNGICIDA,EC,DINAMARCA,BANANO,Table_11
723,09-04-2010/ 1264,"26-12-2014/ 4606
21-05-2018/ 25168
05-05-2019/ 5885",GAITERO WP,AGROSER  S.A,DIMETHOMORPH,500 g/Kg,III,FUNGICIDA,WP,VENEZUELA CHINA,"TOMATE, PAPA",Table_11
724,09-04-2010/ 1269,"21-03-2012/ 653
08-08--2012/ 2503
05-02-2020/ 61427",BACMENTIN ® 18 EC,LABORATORIOS CHALVER DE COLOMBIA S.A,ABAMECTINA,18 g/L,II,INSECTICIDA,EC,COLOMBIA,"ROSAS,TOMATE, LIMON, MANDARINA, NARANJA, LIMA TANGELO,TORONJA",Table_11
725,19-05-2010/ 1661,"31-12-2012/ 5978
23-04-2013/ 1884
17-09-2014/ 2850
21-09-2015/ 3315
11-05-2016/ 5169
11-10-2017/ 12532",FIPRONOVA® 80 WG,FMC COLOMBIA S.A.S,"FIPRONIL
104 de 365",800 g/Kg,II,INSECTICIDA,WP,ALEMANIA CHINA,"ROSA, ALGODÓN, CEBOLLA, PASTOS, ORNAMENTALES (ROSAS)",Table_11
726,27-04-2010/ 1490,"07-05-2015/ 1373
17-11-2015/ 469
22-11-2017/ 15537",PICUS® 600 FS,FMC COLOMBIA S.A.S,IMIDACLOPRID,600 g/L,III,INSECTICIDA,FS,URUGUAY ALEMANIA,ARROZ,Table_11
727,19-04-2010/ 1370,"06-03-2017/ 2452
11-06-2019/ 7744",LAREDO®180 EC,TECNOQUIMICAS  S.A,CYHALOFOP BUTYL,180 g/L,III,HERBICIDA,EC,CHINA   COLOMBIA,ARROZ,Table_11
728,29-04-2010/ 1523,"25-02-11/ 1077
07-05-2015/ 1376",DIVINO®250 EC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,DIFENOCONAZOLE,250 g/L,III,FUNGICIDA,EC,ISRAEL COLOMBIA,"TOMATE DE ARBOL, ROSAS,  CLAVEL,  FRIJOL,
TOMATE, LULO, BERENJENA, PIMENTON, AJIES,
UCHUVA",Table_11
729,07-05-2010/ 1575,,BUTACHLOR 600 EC,DVA DE COLOMBIA LTDA,BUTACHLOR,600 g/L,III,HERBICIDA,EC,CHINA,ARROZ,Table_11
730,03-05-2010/ 1535,"31-01-2011/ 530
13-11-2012/ 4589
06-02-2013/ 5126",DURONIL® 720 SC,HELM ANDINA LTDA,CLOROTALONIL,720 g/L,III,FUNGICIDA,SC,CHINA,"BANANO, PLATANO, ARROZ TOMATE, PAPA, FRIJOL,
CAUCHO, ORNAMENTALES (ROSAS)",Table_11
731,19-05-2010/ 1637,,"ATTAMIX® 0,125 SB",MINAGRO INDUSTRIA QUIMICA LTDA,CHLORPYRIFOS,"0,00125 g/kg",III,INSECTICIDA,SB,COLOMBIA,"CAFÉ, CAÑA DE AZUCAR, PINO, EUCALIPTO.",Table_11
